country_name,matched_fishing,matched_unknown_likelyfish,matched_nonfishing,matched_unknown_likelynonfish,unmatched_fishing,unmatched_nonfishing,sum_match_unmatched,ratio_unmatch_matched
Estonia,1.843821854,0.155890967,20.25581685,0.609566432,2.310833781,1.567534341,4.154655635,0.556203446
Russia,77.93330897,2.084684545,292.9811709,6.885512079,95.22175998,31.43802286,173.155069,0.549921874
Slovenia,0.066739477,0.007826744,1.890889847,0.067879471,0.072584949,0.128681399,0.139324426,0.520977915
Namibia,16.89860597,0.685089504,28.8090911,0.666455182,18.10110254,4.262826405,34.99970851,0.517178665
Germany,34.11493161,3.681724708,173.4578002,7.185949673,35.86142254,12.92695547,69.97635415,0.512479151
Bulgaria,4.920423927,0.186703279,26.36161737,0.787258281,5.155811553,3.350370587,10.07623548,0.511680336
Poland,14.21968053,0.525047016,38.98686189,1.436908939,14.70066852,3.431590785,28.92034905,0.508315736
Fiji,4.394319338,0.469075516,6.362966821,0.490630172,4.42855874,3.767183184,8.822878078,0.501940376
New Caledonia,1.62295261,0.023998267,5.655168861,0.207572555,1.541511643,1.451438462,3.164464253,0.48713195
Uruguay,3.793435217,0.362005926,11.98952304,0.370830406,3.543155114,0.796347919,7.336590331,0.482943023
South Africa,56.35962716,4.361886768,271.6650978,8.410921664,50.32206965,15.11713271,106.6816968,0.471702936
French Guiana,3.375367056,0.009463455,7.622816654,0.200223436,2.9132664,2.411996489,6.288633456,0.463259056
Italy,145.1325121,4.18046359,384.1325744,12.50717232,118.9027695,30.25444178,264.0352816,0.450329095
Falkland Islands,3.211369303,0.093370882,1.703918441,0.096299761,2.568044807,0.98534093,5.77941411,0.44434345
American Samoa,0.822695035,0.023407652,0.291263701,0.01205334,0.643724934,0.193638058,1.466419969,0.438977201
United Kingdom,246.1625448,8.708780763,605.0738821,17.59395329,184.5886967,50.51607917,430.7512415,0.42852737
Portugal,53.02149794,1.550858168,182.3179294,7.197889836,39.45874586,11.12864227,92.4802438,0.426672165
Lithuania,1.532789164,0.065349362,10.09979963,0.256721883,1.119566601,0.564512486,2.652355765,0.422102727
Sweden,25.47720407,1.90278618,161.7802606,6.112821998,18.14605923,7.314711453,43.6232633,0.415972072
Singapore,0.472075843,0.863419602,107.5620067,5.509861342,0.318687936,3.149050435,0.790763779,0.403012814
France,173.5398574,4.855802916,297.3066425,10.90533348,115.4549663,23.39940918,288.9948237,0.399505309
Svalbard and Jan Mayen,12.68157993,0.515527487,3.905970633,0.091979198,7.874544039,2.69935019,20.55612397,0.383075333
Ireland,89.65600464,1.604944397,43.02237935,1.580135046,52.22234881,5.324711809,141.8783535,0.36807834
Belgium,7.815775319,0.46887058,42.53361976,1.329165462,4.531893356,1.498010571,12.34766868,0.367024211
Netherlands,63.43500342,4.145832702,241.8931818,8.906968683,36.137196,16.28522915,99.57219942,0.362924553
Latvia,6.490944015,0.190306786,25.87645322,0.72974992,3.422415659,1.645643534,9.913359674,0.345232673
Denmark,75.45419145,3.704840603,246.094906,9.702222459,36.52565055,9.989739103,111.979842,0.326180587
Spain,169.3288651,4.293450324,426.0554357,15.14309609,80.13667714,25.20520111,249.4655422,0.321233451
Croatia,34.94349648,0.987641938,60.89724141,1.60028547,16.48724431,3.505854406,51.43074079,0.320571784
Mauritius,5.028620308,0.621996357,25.74552319,1.168367188,2.283343481,2.150992596,7.311963789,0.312274998
Vanuatu,7.31547688,0.884339723,2.008070877,0.169398054,3.231742099,1.730205984,10.54721898,0.306407035
Guernsey,5.283488937,0.323538616,16.6529303,0.749836169,2.31806851,0.708172609,7.601557447,0.304946523
Norway,187.6136928,6.884451417,292.8622628,5.581310887,78.63889776,37.6506944,266.2525906,0.295354489
Argentina,98.58914144,5.68010029,39.4001556,1.267122035,38.5867978,4.978385786,137.1759392,0.281294212
Faroe Islands,32.70831934,0.179878994,10.14036956,0.21869319,5.559473106,1.01992753,38.26779245,0.145278124
Iceland,56.71305168,0.769680208,15.36621792,0.305180316,7.627634524,1.787595717,64.3406862,0.118550718
